,Unnamed: 0,ticker,date,type,market_cap,d1dv,d2dv,d3dv,d1_i,d1_ah,d1_all,d2_i,d2_ah,d3_i,working_capital,1d_all_z,d1_all_z
87,87,RIGL,2018-04-17,CS,702834910.0,20154548.528100003,75738044.0472,51898951.7138,0.104839,0.024331,0.13172,-0.078385,-0.010309,0.057292,466342000.0,1.4749967907600487,1.5824302241098587
88,88,RARE,2018-04-17,CS,3727110463.0,51112131.133099996,46167762.4928,25182620.8696,0.002016,0.040417,0.042514,-0.034804,-0.000364,-0.018583,207776000.0,1.1732339209701046,0.9604450704956767
89,89,PGNX,2018-04-30,CS,,8068455.3114,5676079.6693,3924356.2765,-0.048246,0.006144,-0.042398,0.007634,0.0,0.013636,121202000.0,-1.7614477870040919,-1.991980575788982
90,90,SGEN,2018-05-01,CS,9603586353.0,57037865.4504,100786468.3976,62245770.728199996,0.023383,-0.005903,0.017342,0.042521,0.002205,-0.010449,3702674000.0,0.3897015542389226,0.7825548575093175
91,91,LPCN,2018-05-08,CS,157157357.0,5372404.888499999,2447745.1079999995,586257.9408,0.10559,-0.353933,-0.285714,-0.008696,-0.035088,-0.036364,862000.0,-2.0637202558777687,-6.036688464907559
92,92,VRX,2018-05-13,CS,,238239698.432,350536675.89839995,208814837.8552,-0.001918,0.021144,0.019185,0.014588,0.008349,0.015639,,0.06923665313703561,0.12766797003116814
93,93,EOLS,2018-05-15,CS,814202874.0,5888095.516,27610289.204400003,8191697.6811999995,0.124328,-0.246416,-0.152724,-0.030797,-0.000935,0.210477,466342000.0,-1.5096877251485687,-2.2012171682123745
94,94,DOVA,2018-05-21,CS,,47602946.5494,12859249.2594,11040629.5008,-0.136347,0.018415,-0.120443,0.049167,-0.008133,-0.026162,90253000.0,-1.8894914318914557,-2.8219622740588046
95,95,BMRN,2018-05-25,CS,16980556710.0,316476321.28559995,98069521.2237,110900906.66999999,0.020861,-0.008758,0.011921,-0.012435,0.003755,-0.003081,1021782000.0,0.5346354318577979,0.817169003585767
97,97,TXMD,2018-05-29,CS,2732291348.0,33981008.5296,113693578.2144,33614908.11,-0.022796,0.041991,0.018237,-0.095522,0.00165,-0.026359,29565000.0,0.4454050613566241,0.2305589117563202
98,98,KTOV,2018-05-31,ADRC,,30009599.725,12936604.3872,3048743.0301,0.306034,-0.125413,0.142241,-0.026415,0.046512,-0.040741,1755589000.0,0.8723922806118339,1.9260893599486053
99,99,VRX,2018-06-18,CS,,598043647.1538,245900184.1464,166070517.84960002,-0.063593,-0.020374,-0.082671,0.05026,0.010314,0.006125,21340000000.0,-1.6782364220774681,-2.4214611015834504
100,100,SCPH,2018-06-23,CS,159482296.0,463287.5848,397795.6592,310675.65119999996,-0.039384,-0.001783,-0.041096,-0.008929,0.0,0.001802,-1000540000.0,-0.17312267680150722,-0.3027785364828209
101,101,GWPH,2018-06-27,ADRC,,156682692.34800002,105661363.58359998,45721746.407400005,-0.054589,-0.008839,-0.062945,0.012061,0.0039,0.003885,-183582000.0,-2.071754663511604,-2.3186978597645007
102,102,MRK,2018-06-28,CS,152314419340.0,615762626.1545,873793049.7581999,549193547.42,0.003161,0.003814,0.006987,0.002809,-0.002471,-0.001486,-6036000.0,1.0836390149443094,1.6221029915292169
103,103,DERM,2018-06-30,CS,,14516737.7307,6639323.4528,12421829.637,-0.001136,0.018203,0.017045,-0.030168,0.004608,0.056193,113152000.0,0.5778442243789303,0.2109064921006236
104,104,ALKS,2018-06-30,CS,6655792905.0,24092674.878399998,20202811.963999998,33842863.922699995,0.007452,-0.001193,0.00625,-0.02795,0.004424,0.008319,10202100000.0,0.5384907527857168,0.6653239820303664
